Название услуги,Цена,Код услуги,Длительность
"Кремний в крови, спектрометрия (Si)",1055.00,23.1.A12,6 дн
"Титан в крови, спектрометрия (Ti)",1055.00,23.1.A13,6 дн
"Хром в крови, спектрометрия (Cr)",1055.00,23.1.A14,6 дн
"Марганец в крови, спектрометрия (Mn)",1055.00,23.1.A15,6 дн
"Кобальт в крови, спектрометрия (Co)",1055.00,23.1.A16,6 дн
"Никель в крови, спектрометрия (Ni)",1055.00,23.1.A17,6 дн
"Мышьяк в крови, спектрометрия (As)",1055.00,23.1.A18,6 дн
"Селен в крови, спектрометрия (Se)",1055.00,23.1.A19,6 дн
"Калий в крови, спектрометрия (K)",1055.00,23.1.A2,6 дн
"Молибден в крови, спектрометрия (Mo)",1055.00,23.1.A20,6 дн
"Кадмий в крови, спектрометрия (Cd)",1055.00,23.1.A21,6 дн
"Сурьма в крови, спектрометрия (Sb)",1055.00,23.1.A22,6 дн
"Ртуть в крови, спектрометрия (Hg)",1055.00,23.1.A23,6 дн
"Свинец в крови, спектрометрия (Pb)",1055.00,23.1.A24,6 дн
"Йод в крови, спектрометрия (I)",1055.00,23.1.A25,6 дн
"Кальций в крови, спектрометрия (Ca)",1055.00,23.1.A3,6 дн
"Железо в крови, спектрометрия (Fe)",1055.00,23.1.A4,6 дн
"Магний в крови, спектрометрия (Mg)",1055.00,23.1.A5,6 дн
"Цинк в крови, спектрометрия (Zn)",1055.00,23.1.A7,6 дн
"Медь в крови, спектрометрия (Cu)",1055.00,23.1.A8,6 дн
"Литий в крови (Li), спектрометрия (включая литий терапевтический)",1050.00,23.1.D1,6 дн
"Натрий в волосах, спектрометрия (Na)",1050.00,23.2.A1,6 дн
"Бор в волосах, спектрометрия (B)",1050.00,23.2.A10,6 дн
"Алюминий в волосах, спектрометрия (Al)",1050.00,23.2.A11,7 дн
"Кремний в волосах, спектрометрия (Si)",1050.00,23.2.A12,7 дн
"Титан в волосах, спектрометрия (Ti)",1050.00,23.2.A13,7 дн
"Хром в волосах, спектрометрия (Cr)",1050.00,23.2.A14,7 дн
"Марганец в волосах, спектрометрия (Mn)",1050.00,23.2.A15,7 дн
"Кобальт в волосах, спектрометрия (Co)",1050.00,23.2.A16,7 дн
"Никель в волосах, спектрометрия (Ni)",1050.00,23.2.A17,7 дн
"Мышьяк в волосах, спектрометрия (As)",1050.00,23.2.A18,7 дн
"Селен в волосах, спектрометрия (Se)",1050.00,23.2.A19,7 дн
"Калий в волосах, спектрометрия (K)",1050.00,23.2.A2,7 дн
"Молибден в волосах, спектрометрия (Mo)",1050.00,23.2.A20,7 дн
"Кадмий в волосах, спектрометрия (Cd)",1050.00,23.2.A21,7 дн
"Сурьма в волосах, спектрометрия (Sb)",1050.00,23.2.A22,7 дн
"Ртуть в волосах, спектрометрия (Hg)",1050.00,23.2.A23,7 дн
"Свинец в волосах, спектрометрия (Pb)",1050.00,23.2.A24,7 дн
"Кальций в волосах, спектрометрия (Ca)",1050.00,23.2.A3,7 дн
"Железо в волосах, спектрометрия (Fe)",1050.00,23.2.A4,7 дн
"Магний в волосах, спектрометрия (Mg)",1050.00,23.2.A5,7 дн
"Цинк в волосах, спектрометрия (Zn)",1050.00,23.2.A7,7 дн
"Медь в волосах, спектрометрия (Cu)",1050.00,23.2.A8,7 дн
"Литий в волосах, спектрометрия (Li)",1050.00,23.2.A9,7 дн
"Натрий в разовой порции мочи, спектрометрия (Na)",1050.00,23.3.A1,7 дн
"Бор в разовой порции мочи, спектрометрия (B)",1050.00,23.3.A10,6 дн
"Алюминий в разовой порции мочи, спектрометрия (Al)",1050.00,23.3.A11,7 дн
"Кремний в разовой порции мочи, спектрометрия (Si)",1050.00,23.3.A12,7 дн
"Титан в разовой порции мочи, спектрометрия (Ti)",1050.00,23.3.A13,7 дн
"Хром в разовой порции мочи, спектрометрия (Cr)",1050.00,23.3.A14,7 дн
"Марганец в разовой порции мочи, спектрометрия (Mn)",1050.00,23.3.A15,7 дн
"Кобальт в разовой порции мочи, спектрометрия (Co)",1050.00,23.3.A16,7 дн
"Никель в разовой порции мочи, спектрометрия (Ni)",1050.00,23.3.A17,7 дн
"Мышьяк в разовой порции мочи, спектрометрия (As)",1050.00,23.3.A18,7 дн
"Селен в разовой порции мочи, спектрометрия (Se)",1050.00,23.3.A19,7 дн
"Калий в разовой порции мочи, спектрометрия (K)",1050.00,23.3.A2,7 дн
"Молибден в разовой порции мочи, спектрометрия (Mo)",1050.00,23.3.A20,7 дн
"Кадмий в разовой порции мочи, спектрометрия (Cd)",1050.00,23.3.A21,7 дн
"Сурьма в разовой порции мочи, спектрометрия (Sb)",1050.00,23.3.A22,7 дн
"Ртуть в разовой порции мочи, спектрометрия (Hg)",1050.00,23.3.A23,7 дн
"Свинец в разовой порции мочи, спектрометрия (Pb)",1050.00,23.3.A24,8 дн
"Йод в разовой порции мочи, спектрометрия (I)",1500.00,23.3.A25,7 дн
"Кальций в разовой порции мочи, спектрометрия (Ca)",1050.00,23.3.A3,7 дн
"Железо в разовой порции мочи, спектрометрия (Fe)",1050.00,23.3.A4,7 дн
"Магний в разовой порции мочи, спектрометрия (Mg)",1050.00,23.3.A5,7 дн
"Цинк в разовой порции мочи, спектрометрия (Zn)",1050.00,23.3.A7,7 дн
"Медь, суточная экскреция, (Cu)",1050.00,23.3.A8,7 дн
"Литий в разовой порции мочи, спектрометрия (Li)",1050.00,23.3.A9,7 дн
"1,25-дигидроксихолекальциферол витамин D3, ВЭЖХ-МС",2500.00,23.4.A14,6 дн
"25-гидроксиэргокальциферол витамин D2, ВЭЖХ-МС",2500.00,23.4.A15,6 дн
"25-гидроксихолекальциферол витамин D3, ВЭЖХ-МС",2500.00,23.4.A16,6 дн
"Малоновый диальдегид, ВЭЖХ",3800.00,23.4.A17,7 дн
25-OH в,2100.00,23.4.A18,5-10 дн
"Бета-каротин (провитамин А), ВЭЖХ",2450.00,23.4.A19,6 дн
"Комплексный анализ крови на витамины группы D (25-ОН D2/ 25-ОН D3/ 1,25-ОН D3/ 24,25-ОН D3), ВЭЖХ-МС",6200.00,23.4.D3,6 дн
"Глутатион свободный (восстановленный, GSH) в крови, ВЭЖХ",4200.00,23.5.A1,7 дн
"Коэнзим Q10 общий (убихинон) в крови, ВЭЖХ",4020.00,23.5.A2,7 дн
"Ацилкарнитины в крови (15 показателей) для лиц старше 18 лет, ВЭЖХ-МС.",3600.00,23.5.D1,8 дн
13С - уреазный дыхательный тест (H. pylori),2750.00,23.7.D1,6 дн
Определение микробиоценоза методом хромато-масс-спектрометрии (МСММ) по Осипову Г.А.,4950.00,23.9.A1,6 дн
НИПС First test 21 (First Genetics): скрининг хромосомы 21 (исследовательский отчет),22365.00,26.2.A11,1 дн
"НИПС  First test light (First Genetics): скрининг хромосом 13, 18, 21 (исследовательский отчет)",22500.00,26.2.A12,1 дн
НИПС First test medium (First Genetics): скрининг хромосомы 21; моносомия/трисомия X; с-м Клайнфельтера; с-м Джейкобса; XXYY (исследовательский отчет),23250.00,26.2.A13,1 дн
"НИПС First test (First Genetics): скрининг хромосом 13, 18, 21; моносомия /трисомия X; с-м Клайнфельтера; с-м Джейкобса; XXYY (исследовательский отчет)",24000.00,26.2.A14,1 дн
"НИПТ базовая панель (Геномед): скрининг хромосом 13, 18, 21 (исследовательский отчет)",19999.00,26.2.A15,1 дн
"НИПТ Т21 (Геномед): скрининг 21 хромосомы, синдрома Дауна (исследовательский отчет)",16841.00,26.2.A6,1 дн
